Local Government District 2014 Code,Local Government District 2014 Label,Sexual Orientation Code,Sexual Orientation Label,Religion or Religion Brought Up In Code,Religion or Religion Brought Up In Label,Count
N09000001,Antrim and Newtownabbey,1,Straight or heterosexual,1,Catholic,32803
N09000001,Antrim and Newtownabbey,1,Straight or heterosexual,2,Protestant and Other Christian (including Christian related),62802
N09000001,Antrim and Newtownabbey,2,"Gay, lesbian, bisexual, other sexual orientation",1,Catholic,829
N09000001,Antrim and Newtownabbey,2,"Gay, lesbian, bisexual, other sexual orientation",2,Protestant and Other Christian (including Christian related),994
N09000002,"Armagh City, Banbridge and Craigavon",1,Straight or heterosexual,1,Catholic,66737
N09000002,"Armagh City, Banbridge and Craigavon",1,Straight or heterosexual,2,Protestant and Other Christian (including Christian related),77365
N09000002,"Armagh City, Banbridge and Craigavon",2,"Gay, lesbian, bisexual, other sexual orientation",1,Catholic,1159
N09000002,"Armagh City, Banbridge and Craigavon",2,"Gay, lesbian, bisexual, other sexual orientation",2,Protestant and Other Christian (including Christian related),902
N09000003,Belfast,1,Straight or heterosexual,1,Catholic,119259
N09000003,Belfast,1,Straight or heterosexual,2,Protestant and Other Christian (including Christian related),96274
N09000003,Belfast,2,"Gay, lesbian, bisexual, other sexual orientation",1,Catholic,5598
N09000003,Belfast,2,"Gay, lesbian, bisexual, other sexual orientation",2,Protestant and Other Christian (including Christian related),3334
N09000004,Causeway Coast and Glens,1,Straight or heterosexual,1,Catholic,41424
N09000004,Causeway Coast and Glens,1,Straight or heterosexual,2,Protestant and Other Christian (including Christian related),56673
N09000004,Causeway Coast and Glens,2,"Gay, lesbian, bisexual, other sexual orientation",1,Catholic,613
N09000004,Causeway Coast and Glens,2,"Gay, lesbian, bisexual, other sexual orientation",2,Protestant and Other Christian (including Christian related),732
N09000005,Derry City and Strabane,1,Straight or heterosexual,1,Catholic,77346
N09000005,Derry City and Strabane,1,Straight or heterosexual,2,Protestant and Other Christian (including Christian related),26614
N09000005,Derry City and Strabane,2,"Gay, lesbian, bisexual, other sexual orientation",1,Catholic,1807
N09000005,Derry City and Strabane,2,"Gay, lesbian, bisexual, other sexual orientation",2,Protestant and Other Christian (including Christian related),416
N09000006,Fermanagh and Omagh,1,Straight or heterosexual,1,Catholic,52514
N09000006,Fermanagh and Omagh,1,Straight or heterosexual,2,Protestant and Other Christian (including Christian related),26874
N09000006,Fermanagh and Omagh,2,"Gay, lesbian, bisexual, other sexual orientation",1,Catholic,629
N09000006,Fermanagh and Omagh,2,"Gay, lesbian, bisexual, other sexual orientation",2,Protestant and Other Christian (including Christian related),263
N09000007,Lisburn and Castlereagh,1,Straight or heterosexual,1,Catholic,28683
N09000007,Lisburn and Castlereagh,1,Straight or heterosexual,2,Protestant and Other Christian (including Christian related),68761
N09000007,Lisburn and Castlereagh,2,"Gay, lesbian, bisexual, other sexual orientation",1,Catholic,838
N09000007,Lisburn and Castlereagh,2,"Gay, lesbian, bisexual, other sexual orientation",2,Protestant and Other Christian (including Christian related),1060
N09000008,Mid and East Antrim,1,Straight or heterosexual,1,Catholic,20061
N09000008,Mid and East Antrim,1,Straight or heterosexual,2,Protestant and Other Christian (including Christian related),73430
N09000008,Mid and East Antrim,2,"Gay, lesbian, bisexual, other sexual orientation",1,Catholic,363
N09000008,Mid and East Antrim,2,"Gay, lesbian, bisexual, other sexual orientation",2,Protestant and Other Christian (including Christian related),946
N09000009,Mid Ulster,1,Straight or heterosexual,1,Catholic,66415
N09000009,Mid Ulster,1,Straight or heterosexual,2,Protestant and Other Christian (including Christian related),34040
N09000009,Mid Ulster,2,"Gay, lesbian, bisexual, other sexual orientation",1,Catholic,831
N09000009,Mid Ulster,2,"Gay, lesbian, bisexual, other sexual orientation",2,Protestant and Other Christian (including Christian related),357
N09000010,"Newry, Mourne and Down",1,Straight or heterosexual,1,Catholic,92463
N09000010,"Newry, Mourne and Down",1,Straight or heterosexual,2,Protestant and Other Christian (including Christian related),30688
N09000010,"Newry, Mourne and Down",2,"Gay, lesbian, bisexual, other sexual orientation",1,Catholic,1405
N09000010,"Newry, Mourne and Down",2,"Gay, lesbian, bisexual, other sexual orientation",2,Protestant and Other Christian (including Christian related),432
N09000011,Ards and North Down,1,Straight or heterosexual,1,Catholic,16709
N09000011,Ards and North Down,1,Straight or heterosexual,2,Protestant and Other Christian (including Christian related),89289
N09000011,Ards and North Down,2,"Gay, lesbian, bisexual, other sexual orientation",1,Catholic,452
N09000011,Ards and North Down,2,"Gay, lesbian, bisexual, other sexual orientation",2,Protestant and Other Christian (including Christian related),1333
